V_L,V_R,velocity,acc,omega,alpha
-2.438000,1.641000,0.000000,26.139000,1.165880,49.445178
-2.433400,2.433400,0.000000,0.000000,2.314307,34.095007
-2.425000,2.425000,0.026100,26.139000,4.284783,70.999994
-2.423600,2.423600,0.000000,13.258000,5.930629,64.978608
-2.422800,2.422800,0.000000,0.000000,6.366961,30.141836
-2.425000,2.425000,0.039200,26.139000,6.764896,45.212754
-2.422800,2.422800,0.013000,26.139000,7.454301,48.232174
-2.422800,2.422800,0.039200,0.000000,7.805112,33.100169
-2.418200,2.418200,0.052200,0.000000,8.644616,-48.441613
-2.425000,2.425000,0.039200,-26.139000,9.073967,18.229964
-2.422800,2.422800,0.052200,13.258000,8.377580,-42.996186
-2.422000,2.422000,0.078400,-26.139000,8.166396,-9.608038
-2.421200,2.421200,0.052200,-26.139000,8.211774,-51.740286
-2.424200,2.424200,0.091400,0.000000,7.602654,57.787851
-2.418200,2.418200,0.117600,13.258000,6.991789,4.537856
-2.423600,2.423600,0.078400,-26.139000,7.286750,-184.620928
-2.422000,2.422000,0.091400,0.000000,7.620108,-148.789319
-2.422800,2.422800,0.052200,-26.139000,7.087782,-50.064770
-2.422800,2.422800,0.143700,-26.139000,7.560766,48.572513
-2.417400,2.417400,0.039200,0.000000,7.510152,90.661128
-2.422800,2.422800,0.078400,-26.139000,7.602654,-8.883726
-2.422800,2.422800,0.104500,-26.139000,7.913323,-69.027772
-2.423600,2.423600,0.091400,12.881000,8.136725,39.278635
-2.425000,2.425000,0.078400,13.258000,8.091346,-25.429447
-2.424200,2.424200,0.065300,-26.139000,9.377654,37.454766
-2.421200,2.421200,0.065300,0.000000,9.946631,-128.264247
-2.422800,2.422800,0.091400,13.258000,9.367182,-84.761915
-2.422000,2.422000,0.065300,26.516000,9.245009,-272.786235
-2.416000,2.416000,0.130600,26.139000,6.548475,-69.804443
-2.422000,2.422000,0.130600,13.258000,6.218608,-9.354965
-2.423600,2.423600,0.104500,13.258000,5.913175,8.979719
0.763800,0.000000,0.104500,-26.139000,2.429498,-119.694680
2.295000,0.000000,0.039200,0.000000,-0.310669,6.073746
2.441000,0.469400,0.065300,-12.881000,-0.684169,-6.047566
2.425000,2.425000,0.169900,13.258000,-0.022689,-2.897247
2.425000,2.425000,0.274400,26.516000,0.101229,39.645154
2.422000,2.422000,0.431200,-13.258000,0.178024,1.483530
2.424200,2.424200,0.509700,13.635000,0.099484,-93.898714
2.425000,2.425000,0.601100,13.635000,0.223402,3.412119
2.422000,2.422000,0.692600,-25.762000,0.200713,-38.693949
2.422800,2.422800,0.810300,0.377000,0.062832,-120.759331
2.422800,2.422800,0.875600,26.893000,0.162316,30.743975
2.422000,2.422000,0.954000,0.754000,0.129154,-93.069682
0.000000,-0.530000,0.313600,26.516000,7.129670,98.523836
0.000000,-0.530000,0.026100,0.000000,5.468117,173.031942
-1.407800,-2.440200,-0.222100,-13.258000,1.118756,-39.749874
-2.427400,-2.427400,-0.248300,-26.139000,-0.556760,-48.712139
-2.424200,-2.424200,-0.274400,-26.516000,-0.572468,10.297443
-2.422000,-2.422000,-0.405100,-26.516000,-0.499164,13.194689
-2.420400,-2.420400,-0.496600,25.762000,-0.230383,-38.929569
-2.424200,-2.424200,-0.627300,12.504000,-0.368264,-10.018190
-2.424200,-2.424200,-0.718800,-0.754000,-0.436332,-57.430059
-2.416000,-2.416000,-0.862500,-0.754000,-0.464258,-4.328417
-2.422000,-2.422000,-0.914800,-26.893000,-0.376991,-32.585297
-2.423600,-2.423600,-1.045500,12.504000,-0.340339,-11.257374
-2.417400,-2.417400,-1.097800,-27.270000,-0.261799,-6.003933
-2.422000,-2.422000,-1.110900,-27.270000,-0.232129,137.261419
-2.422800,-2.422800,-1.280800,25.008000,-0.122173,93.252942
1.518400,-2.429600,-1.293800,-26.893000,-3.014184,-21.528636
2.431200,2.431200,-0.744900,-13.635000,-0.502655,-259.635179
2.425000,2.425000,-0.535800,-13.635000,-0.068068,-151.765105
2.421200,2.421200,-0.352800,26.139000,-0.350811,-190.511414
2.421200,2.421200,-0.182900,25.762000,-0.315905,56.365408
2.422000,2.422000,-0.026100,26.139000,-0.146608,30.647982
2.421200,2.421200,0.104500,-26.139000,-0.087266,-2.993240
2.420400,2.420400,0.182900,0.377000,0.076794,-21.240657
2.422000,2.422000,0.313600,0.377000,0.286234,18.893189
2.418200,2.418200,0.496600,-12.881000,0.223402,-23.684118
0.000000,2.425000,0.483500,-25.762000,1.902409,134.416532
2.444800,0.646400,0.274400,26.516000,-0.829031,-241.536115
2.428800,2.428800,0.392000,-25.762000,-0.359538,67.814768
2.420400,2.420400,0.496600,0.377000,0.034907,-45.937066
2.424200,2.424200,0.614200,-12.504000,0.005236,23.771384
2.422800,2.422800,0.731800,14.012000,0.174533,-44.078290
2.424200,2.424200,0.810300,0.754000,0.158825,0.890118
2.423600,2.423600,1.032400,-25.385000,-0.078540,49.637164
2.424200,2.424200,1.176200,-11.750000,0.115192,-229.955855
-0.941200,0.000000,1.071700,1.131000,0.703368,54.602626
-2.401400,0.000000,0.849500,14.389000,4.698426,76.427968
-2.435000,-1.346200,0.731800,-12.504000,9.278170,73.024576
-2.425800,-2.274200,-0.313600,-13.635000,8.906415,-256.545946
-2.422800,-2.422800,-1.489900,25.385000,9.110619,-210.285995
-2.421200,-2.421200,-0.705700,25.385000,5.881760,-26.816984
-2.421200,-2.421200,-0.679600,-0.377000,4.495968,-6.658431
-2.419800,-2.419800,-0.692600,-13.635000,1.185079,-82.414447
-2.413600,-2.413600,-0.849500,-14.012000,-0.005236,-162.263260
-2.414400,-2.414400,-0.901700,12.127000,-0.340339,158.554436
-2.421200,-2.421200,-1.032400,25.385000,-0.429351,141.458936
1.108600,-2.427400,-1.032400,-1.131000,-1.939061,-87.851148
0.000000,-2.433400,-0.954000,25.385000,-4.515167,114.039813
0.000000,-1.526600,-1.058600,-26.893000,-2.330015,21.546090
1.820800,1.292000,0.039200,-13.258000,-0.137881,27.646015
2.425800,2.425800,0.091400,0.000000,0.075049,-61.060344
2.423600,2.423600,0.169900,13.258000,-0.535816,7.548549
2.422000,2.422000,0.209100,-12.881000,-0.644026,-10.314896
2.412800,2.412800,0.352800,-12.881000,-0.005236,82.815873
2.419800,2.419800,0.444300,-12.881000,0.246091,90.643675
2.419000,2.419000,0.588100,26.893000,0.769690,-62.029002
2.419800,2.419800,0.627300,0.754000,0.881391,108.751466
2.154800,2.422800,0.679600,-12.504000,0.856957,-59.943333
2.154200,2.422000,0.836400,26.893000,1.078613,13.770648
0.000000,2.432600,0.862500,-12.504000,2.802999,213.951186
0.000000,0.589000,0.104500,0.000000,0.120428,6.937684
